	sector	community_name	group_category	category	count	resident_count	date	year	month	id	:@computed_region_4a3i_ccfj	:@computed_region_p8tp_5dkv	:@computed_region_4b54_tmc4	:@computed_region_kxmf_bzkv	geocoded_column.latitude	geocoded_column.longitude	geocoded_column.human_address
180	EAST	FOREST LAWN INDUSTRIAL	Disorder	Physical Disorder	5	123	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-FOREST LAWN INDUSTRIAL-Physical Disorder-5	3	11	12	97	51.0271111235958	-113.95696965603811	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
181	CENTRE	BRITANNIA	Disorder	Social Disorder	4	690	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-BRITANNIA-Social Disorder-4	1	5	8	279	51.01267454182879	-114.08631487203512	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
182	NORTHWEST	NOSE HILL PARK	Disorder	Social Disorder	2	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-NOSE HILL PARK-Social Disorder-2	2	4	2	8	51.111277140934476	-114.11069096475	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
183	EAST	RED CARPET	Disorder	Social Disorder	10	1594	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-RED CARPET-Social Disorder-10	3	11	12	103	51.042514436682296	-113.93877317699018	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
184	CENTRE	HIGHLAND PARK	Crime	Residential Break & Enter	3	3838	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-HIGHLAND PARK-Residential Break & Enter-3	4	4	2	259	51.088022395583224	-114.06206898549655	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
185	WEST	LAKEVIEW	Crime	Theft OF Vehicle	1	5355	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-LAKEVIEW-Theft OF Vehicle-1	1	5	8	129	50.999772943687304	-114.12963340383207	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
186	CENTRE	PARKHILL	Disorder	Physical Disorder	1	1691	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-PARKHILL-Physical Disorder-1	1	5	10	60	51.01817361313606	-114.06555183553823	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
187	SOUTHEAST	SOUTH FOOTHILLS	Crime	Commercial Break & Enter	7	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SOUTH FOOTHILLS-Commercial Break & Enter-7	3	8	10	105	50.97126883320564	-113.97364270764926	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
188	NORTH	CARRINGTON	Disorder	Social Disorder	3	572	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-CARRINGTON-Social Disorder-3	2	12	11	242	51.18568826121795	-114.08876544116907	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
189	NORTHEAST	ABBEYDALE	Disorder	Social Disorder	31	5957	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-ABBEYDALE-Social Disorder-31	4	3	12	94	51.05952012318639	-113.92779391882777	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
190	NORTHEAST	STONEY 3	Crime	Theft FROM Vehicle	1	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-STONEY 3-Theft FROM Vehicle-1	4	1	11	107	51.14703268582613	-113.97583513108833	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
191	NORTHEAST	VISTA HEIGHTS	Disorder	Social Disorder	18	2370	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-VISTA HEIGHTS-Social Disorder-18	4	3	9	141	51.07193261121854	-114.01772636064443	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
192	SOUTH	WOODLANDS	Crime	Theft OF Vehicle	2	6002	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-WOODLANDS-Theft OF Vehicle-2	1	6	5	216	50.941119997744266	-114.10634364849602	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
193	SOUTH	FAIRVIEW INDUSTRIAL	Disorder	Physical Disorder	2	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-FAIRVIEW INDUSTRIAL-Physical Disorder-2	3	11	10	76	50.98692363059351	-114.06882221568989	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
194	EAST	PENBROOKE MEADOWS	Crime	Theft OF Vehicle	7	8554	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-PENBROOKE MEADOWS-Theft OF Vehicle-7	3	11	12	30	51.0458656172816	-113.94751619540399	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
195	CENTRE	ALTADORE	Crime	Violence Other (Non-domestic)	2	6942	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-ALTADORE-Violence Other (Non-domestic)-2	1	2	8	200	51.015948466883415	-114.10079474153764	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
196	WEST	RUTLAND PARK	Crime	Theft OF Vehicle	1	2263	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-RUTLAND PARK-Theft OF Vehicle-1	1	2	8	183	51.018991792178156	-114.13736158459035	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
197	CENTRE	BANKVIEW	Crime	Theft FROM Vehicle	12	5256	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-BANKVIEW-Theft FROM Vehicle-12	1	2	14	208	51.034131244481415	-114.10048919021384	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
198	SOUTH	KELVIN GROVE	Crime	Theft FROM Vehicle	4	2305	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-KELVIN GROVE-Theft FROM Vehicle-4	1	5	8	29	50.98977222366248	-114.08902454242087	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
199	CENTRE	SHAGANAPPI	Crime	Assault (Non-domestic)	1	1626	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SHAGANAPPI-Assault (Non-domestic)-1	1	2	14	198	51.045204820188786	-114.12664279707968	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
200	NORTH	COVENTRY HILLS	Crime	Theft FROM Vehicle	3	17667	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-COVENTRY HILLS-Theft FROM Vehicle-3	4	12	11	251	51.16490633029946	-114.05314340697439	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
201	NORTHEAST	MONTEREY PARK	Crime	Theft FROM Vehicle	1	10372	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-MONTEREY PARK-Theft FROM Vehicle-1	4	3	9	161	51.08145946482504	-113.92685104381658	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
202	CENTRE	POINT MCKAY	Disorder	Social Disorder	4	1343	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-POINT MCKAY-Social Disorder-4	2	7	7	131	51.059541576145605	-114.1461459792249	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
203	SOUTH	EVERGREEN	Crime	Residential Break & Enter	6	21500	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-EVERGREEN-Residential Break & Enter-6	1	6	5	39	50.91871439337275	-114.11532492862042	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
204	WEST	SPRUCE CLIFF	Disorder	Social Disorder	16	4673	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SPRUCE CLIFF-Social Disorder-16	1	2	14	118	51.04860967166606	-114.13628214787398	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
205	NORTHEAST	DEERFOOT BUSINESS CENTRE	Crime	Theft OF Vehicle	2	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-DEERFOOT BUSINESS CENTRE-Theft OF Vehicle-2	4	1	11	111	51.11209775483432	-114.0383269425689	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
206	SOUTH	BRIDLEWOOD	Disorder	Physical Disorder	1	12641	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-BRIDLEWOOD-Physical Disorder-1	1	6	5	138	50.899454856621546	-114.10972655248429	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
207	NORTHWEST	CITADEL	Disorder	Social Disorder	19	10077	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-CITADEL-Social Disorder-19	2	10	3	247	51.144535952979886	-114.18391684649208	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
208	SOUTHEAST	CRANSTON	Disorder	Social Disorder	26	19884	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-CRANSTON-Social Disorder-26	3	8	4	294	50.87820238990293	-113.97999151788659	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
209	EAST	FOOTHILLS	Crime	Theft FROM Vehicle	6	317	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-FOOTHILLS-Theft FROM Vehicle-6	3	11	10	159	50.99416606568998	-113.98198902398701	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
210	EAST	APPLEWOOD PARK	Crime	Theft FROM Vehicle	3	6981	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-APPLEWOOD PARK-Theft FROM Vehicle-3	3	11	12	221	51.044981778174524	-113.92785764420194	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
211	SOUTH	DEER RIDGE	Disorder	Physical Disorder	2	3973	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-DEER RIDGE-Physical Disorder-2	3	13	6	151	50.92657361026187	-114.02023388390765	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
212	NORTH	AURORA BUSINESS PARK	Disorder	Social Disorder	4	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-AURORA BUSINESS PARK-Social Disorder-4	4	12	11	100	51.13626243223524	-114.05847554152584	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
213	SOUTH	SOUTHWOOD	Disorder	Physical Disorder	5	6246	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SOUTHWOOD-Physical Disorder-5	1	5	8	7	50.9577735651428	-114.08320089308144	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
214	NORTHEAST	CORAL SPRINGS	Crime	Theft OF Vehicle	1	5801	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-CORAL SPRINGS-Theft OF Vehicle-1	4	3	9	293	51.103352770689	-113.92694848647866	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
215	EAST	VALLEYFIELD	Crime	Commercial Break & Enter	1	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-VALLEYFIELD-Commercial Break & Enter-1	3	11	10	102	51.009084786482404	-114.00188539153211	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
216	SOUTH	ACADIA	Crime	Theft OF Vehicle	9	10520	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-ACADIA-Theft OF Vehicle-9	3	5	10	174	50.972409209651765	-114.05369821963635	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
217	CENTRE	CHINATOWN	Crime	Violence Other (Non-domestic)	1	2471	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-CHINATOWN-Violence Other (Non-domestic)-1	1	7	7	21	51.052826999717524	-114.06552010650593	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
218	NORTHEAST	FRANKLIN	Crime	Theft FROM Vehicle	6	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-FRANKLIN-Theft FROM Vehicle-6	4	3	12	84	51.05892746047145	-113.9875254899815	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
219	CENTRE	RIDEAU PARK	Crime	Residential Break & Enter	1	594	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-RIDEAU PARK-Residential Break & Enter-1	1	5	10	277	51.02487161915141	-114.07416053248207	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
220	WEST	GLENBROOK	Crime	Theft OF Vehicle	1	7442	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-GLENBROOK-Theft OF Vehicle-1	1	14	1	298	51.024203413126706	-114.1526865290254	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
221	NORTHEAST	CALGARY INTERNATIONAL AIRPORT	Disorder	Physical Disorder	2	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-CALGARY INTERNATIONAL AIRPORT-Physical Disorder-2	4	1	11	86	51.12355931408244	-114.01171802945132	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
222	CENTRE	WINDSOR PARK	Crime	Theft OF Vehicle	3	4584	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-WINDSOR PARK-Theft OF Vehicle-3	1	5	8	144	51.00504575889471	-114.08355230577988	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
223	SOUTH	MILLRISE	Disorder	Social Disorder	12	6900	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-MILLRISE-Social Disorder-12	1	6	5	156	50.91704529217144	-114.08490366384473	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
224	CENTRE	MOUNT PLEASANT	Crime	Theft OF Vehicle	2	5889	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-MOUNT PLEASANT-Theft OF Vehicle-2	2	7	7	17	51.074230696376944	-114.07602784635378	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
225	SOUTH	CANYON MEADOWS	Crime	Theft FROM Vehicle	6	7624	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-CANYON MEADOWS-Theft FROM Vehicle-6	1	6	5	283	50.940963833588576	-114.08218233098279	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
226	NORTH	HUNTINGTON HILLS	Crime	Theft FROM Vehicle	8	13420	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-HUNTINGTON HILLS-Theft FROM Vehicle-8	4	4	2	261	51.11758229183931	-114.06670944395931	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
227	SOUTH	FISH CREEK PARK	Crime	Theft FROM Vehicle	2	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-FISH CREEK PARK-Theft FROM Vehicle-2	3	13	6	5	50.90960459313166	-114.02652359670793	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
228	WEST	SIGNAL HILL	Crime	Commercial Break & Enter	4	13395	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SIGNAL HILL-Commercial Break & Enter-4	1	14	1	278	51.022860957411766	-114.17919589437479	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
229	WEST	SPRINGBANK HILL	Disorder	Social Disorder	12	9943	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SPRINGBANK HILL-Social Disorder-12	1	14	1	289	51.02682412098998	-114.20845827193637	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
230	SOUTH	DEER RUN	Crime	Violence Other (Non-domestic)	1	5065	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-DEER RUN-Violence Other (Non-domestic)-1	3	13	6	168	50.92540672204504	-114.00908770459678	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
231	SOUTHEAST	EAST SHEPARD INDUSTRIAL	Disorder	Physical Disorder	1	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-EAST SHEPARD INDUSTRIAL-Physical Disorder-1	3	8	4	79	50.951244506177744	-113.950956719842	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
232	SOUTH	KINGSLAND	Disorder	Physical Disorder	5	4688	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-KINGSLAND-Physical Disorder-5	1	5	8	120	50.98688939290727	-114.0773652017753	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
233	NORTHWEST	CHARLESWOOD	Crime	Theft FROM Vehicle	1	3569	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-CHARLESWOOD-Theft FROM Vehicle-1	2	4	7	125	51.09012581788306	-114.11218190301695	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
234	WEST	LINCOLN PARK	Disorder	Physical Disorder	3	2617	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-LINCOLN PARK-Physical Disorder-3	1	2	8	42	51.0100906918158	-114.12955694059636	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
235	SOUTHEAST	COPPERFIELD	Crime	Commercial Robbery	1	13823	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-COPPERFIELD-Commercial Robbery-1	3	8	4	96	50.91781021633874	-113.92945975687502	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
236	WEST	GLAMORGAN	Crime	Violence Other (Non-domestic)	1	6522	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-GLAMORGAN-Violence Other (Non-domestic)-1	1	14	1	142	51.01552804933978	-114.15286259623358	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
237	NORTH	STONEY 1	Disorder	Social Disorder	1	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-STONEY 1-Social Disorder-1	4	12	11	163	51.16118788060755	-114.02469848732257	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
238	SOUTHEAST	OGDEN	Crime	Theft OF Vehicle	3	8576	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-OGDEN-Theft OF Vehicle-3	3	11	10	28	50.992096131354884	-114.01258473119236	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
239	CENTRE	BEL-AIRE	Crime	Theft OF Vehicle	1	390	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-BEL-AIRE-Theft OF Vehicle-1	1	5	8	285	50.99944254944499	-114.08894116300795	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
240	CENTRE	CLIFF BUNGALOW	Crime	Residential Break & Enter	1	1895	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-CLIFF BUNGALOW-Residential Break & Enter-1	1	2	14	18	51.03393023150099	-114.07489486405635	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
241	NORTHWEST	BOWNESS	Crime	Commercial Break & Enter	2	11150	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-BOWNESS-Commercial Break & Enter-2	2	9	13	149	51.08335944242536	-114.18782602664336	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
242	CENTRE	GREENVIEW INDUSTRIAL PARK	Crime	Theft FROM Vehicle	2	225	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-GREENVIEW INDUSTRIAL PARK-Theft FROM Vehicle-2	4	4	2	239	51.08651539849002	-114.04905097324385	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
243	WEST	STRATHCONA PARK	Disorder	Physical Disorder	1	6855	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-STRATHCONA PARK-Physical Disorder-1	1	14	1	67	51.0474032510793	-114.17757962941137	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
244	CENTRE	ROSEDALE	Disorder	Social Disorder	7	1560	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-ROSEDALE-Social Disorder-7	2	7	7	219	51.062712450882195	-114.07819728767541	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
245	SOUTH	SHAWNEE SLOPES	Crime	Residential Break & Enter	1	1911	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SHAWNEE SLOPES-Residential Break & Enter-1	1	6	5	32	50.92618889834688	-114.08580303773778	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
246	CENTRE	DOWNTOWN COMMERCIAL CORE	Disorder	Physical Disorder	39	8683	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-DOWNTOWN COMMERCIAL CORE-Physical Disorder-39	1	7	7	262	51.04727019967498	-114.06959221074015	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
247	CENTRE	HILLHURST	Crime	Violence Other (Non-domestic)	2	6558	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-HILLHURST-Violence Other (Non-domestic)-2	2	7	7	40	51.057268028313786	-114.09364637665843	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
248	NORTHEAST	NORTH AIRWAYS	Disorder	Social Disorder	9	0	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-NORTH AIRWAYS-Social Disorder-9	4	3	9	72	51.0871426966461	-114.0075260441034	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
249	CENTRE	BANFF TRAIL	Disorder	Social Disorder	40	4153	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-BANFF TRAIL-Social Disorder-40	2	7	7	153	51.07421659941558	-114.1151290223033	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
250	CENTRE	DOWNTOWN COMMERCIAL CORE	Crime	Theft OF Vehicle	8	8683	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-DOWNTOWN COMMERCIAL CORE-Theft OF Vehicle-8	1	7	7	262	51.04727019967498	-114.06959221074015	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
251	WEST	RUTLAND PARK	Disorder	Physical Disorder	1	2263	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-RUTLAND PARK-Physical Disorder-1	1	2	8	183	51.018991792178156	-114.13736158459035	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
252	NORTHEAST	TARADALE	Disorder	Physical Disorder	4	19026	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-TARADALE-Physical Disorder-4	4	1	11	26	51.11794016304313	-113.93400207797254	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
253	NORTHEAST	WHITEHORN	Disorder	Social Disorder	44	12019	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-WHITEHORN-Social Disorder-44	4	3	9	145	51.08877341271908	-113.97006816364696	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
254	NORTHWEST	SILVER SPRINGS	Crime	Violence Other (Non-domestic)	1	8679	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SILVER SPRINGS-Violence Other (Non-domestic)-1	2	9	13	147	51.104270088383586	-114.19627989529096	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
255	SOUTH	OAKRIDGE	Crime	Residential Break & Enter	1	5690	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-OAKRIDGE-Residential Break & Enter-1	1	5	8	217	50.969739206716326	-114.12960909912147	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
256	NORTHEAST	REDSTONE	Crime	Assault (Non-domestic)	2	5848	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-REDSTONE-Assault (Non-domestic)-2	4	1	11	3	51.170446168252354	-113.95779456322208	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
257	WEST	GLAMORGAN	Disorder	Physical Disorder	1	6522	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-GLAMORGAN-Physical Disorder-1	1	14	1	142	51.01552804933978	-114.15286259623358	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
258	SOUTH	KELVIN GROVE	Crime	Commercial Break & Enter	2	2305	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-KELVIN GROVE-Commercial Break & Enter-2	1	5	8	29	50.98977222366248	-114.08902454242087	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
259	NORTHEAST	SADDLE RIDGE	Crime	Street Robbery	2	22321	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SADDLE RIDGE-Street Robbery-2	4	1	11	2	51.13057324213389	-113.94562252266931	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
260	NORTHEAST	MONTEREY PARK	Disorder	Physical Disorder	5	10372	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-MONTEREY PARK-Physical Disorder-5	4	3	9	161	51.08145946482504	-113.92685104381658	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
261	CENTRE	BRIDGELAND/RIVERSIDE	Disorder	Social Disorder	114	6835	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-BRIDGELAND/RIVERSIDE-Social Disorder-114	4	11	10	137	51.050566763066044	-114.03507248380473	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
262	CENTRE	SUNNYSIDE	Crime	Assault (Non-domestic)	2	4230	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-SUNNYSIDE-Assault (Non-domestic)-2	2	7	7	62	51.056419204792846	-114.07902631006927	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
263	EAST	ERIN WOODS	Crime	Assault (Non-domestic)	2	7049	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-ERIN WOODS-Assault (Non-domestic)-2	3	11	12	35	51.02105117275534	-113.96760658953818	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
264	NORTHEAST	MARLBOROUGH PARK	Disorder	Physical Disorder	6	8523	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-MARLBOROUGH PARK-Physical Disorder-6	4	3	12	33	51.05969184952577	-113.94671734839238	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
265	NORTH	COVENTRY HILLS	Crime	Commercial Break & Enter	1	17667	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-COVENTRY HILLS-Commercial Break & Enter-1	4	12	11	251	51.16490633029946	-114.05314340697439	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
266	CENTRE	TUXEDO PARK	Crime	Theft OF Vehicle	3	5326	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-TUXEDO PARK-Theft OF Vehicle-3	4	7	10	69	51.074245240422314	-114.0610445200781	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
267	NORTHWEST	ARBOUR LAKE	Crime	Commercial Break & Enter	4	10619	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-ARBOUR LAKE-Commercial Break & Enter-4	2	10	3	244	51.13263256556279	-114.2075783058964	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
268	SOUTH	LAKE BONAVISTA	Crime	Theft FROM Vehicle	10	10293	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-LAKE BONAVISTA-Theft FROM Vehicle-10	3	13	6	267	50.93980907043577	-114.05132286943763	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
269	NORTHEAST	PINERIDGE	Crime	Theft FROM Vehicle	9	10022	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-PINERIDGE-Theft FROM Vehicle-9	4	3	9	36	51.074259757631374	-113.94676495577161	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
270	NORTHEAST	MARLBOROUGH PARK	Crime	Theft OF Vehicle	5	8523	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-MARLBOROUGH PARK-Theft OF Vehicle-5	4	3	12	33	51.05969184952577	-113.94671734839238	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
271	SOUTHEAST	MCKENZIE TOWNE	Crime	Theft OF Vehicle	5	18283	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-MCKENZIE TOWNE-Theft OF Vehicle-5	3	8	4	46	50.91713725138621	-113.96147999523379	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
272	WEST	CHRISTIE PARK	Crime	Assault (Non-domestic)	1	2128	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-CHRISTIE PARK-Assault (Non-domestic)-1	1	14	1	68	51.04083462273871	-114.17590074638275	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
273	CENTRE	CRESCENT HEIGHTS	Crime	Commercial Break & Enter	5	6620	2019-11-01T00:00:00.000	2019	NOV	2019-NOV-CRESCENT HEIGHTS-Commercial Break & Enter-5	4	7	7	266	51.05952142088306	-114.06161026890561	"{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}"
